,prova_realizada_em,dia_da_prova_realizada,nota,nota_redacao,horario_da_prova,sexo,estado_civil,escolaridade,cidade_de_nascimento,bairro
10032,GO - Goiás,13/08/2016,"5,55","1,8",Noite,Feminino,Casado(a),Ensino médio,Britânia,Setor Central
10033,GO - Goiás,12/08/2016,"5,55","1,8",manhã,Feminino,Solteiro(a),Ensino médio,MONTES CLAROS DE GOIAS,CENTRO
10034,GO - Goiás,04/08/2016,"5,45","1,7",Noite,Feminino,Solteiro(a),Ensino médio,Jussara,Manssões do Bosque
10035,GO - Goiás,13/08/2016,"5,4","1,4",Noite,Masculino,Casado(a),Ensino médio,BRITÂNIA,VILA GOIÁS
10036,GO - Goiás,04/08/2016,"5,4","1,4",manhã,Masculino,Solteiro(a),Ensino médio,Itaberai,Fazenda Santa Ines
10037,GO - Goiás,06/08/2016,"5,25",1,manhã,Masculino,Casado(a),Ensino médio,simões,VERA CRUZ
10038,GO - Goiás,07/08/2016,"5,25",1,manhã,Masculino,Solteiro(a),Ensino médio,jussara,Setor Central
10039,GO - Goiás,11/08/2016,"5,2","1,2",Noite,Feminino,Casado(a),Ensino médio,JUSSARA,Setor Central
10040,GO - Goiás,07/08/2016,"5,2","1,2",manhã,Masculino,Solteiro(a),Ensino médio,Barra do Garças ,serrinha
10041,GO - Goiás,04/08/2016,"5,15","1,4",Noite,Feminino,Solteiro(a),Ensino médio,BRITANIA ,Setor Central
10042,GO - Goiás,04/08/2016,"5,1","1,1",Noite,Feminino,Casado(a),Ensino médio,BRITÂNIA ,Setor Central
10043,GO - Goiás,11/08/2016,"4,95","1,2",manhã,Masculino,Solteiro(a),Ensino médio,Faina,Setor Central
10044,GO - Goiás,06/08/2016,"4,95","1,2",manhã,Feminino,Casado(a),Ensino médio,Simões,Setor Vera cruz 
10045,GO - Goiás,04/08/2016,"4,85","1,1",Noite,Feminino,Solteiro(a),Ensino médio,BRITANIA ,VILA GOIAS 
10046,GO - Goiás,11/08/2016,"7,7","1,7",manhã,Masculino,Solteiro(a),Superior,CERES,SETOR SUDOESTE
10047,GO - Goiás,12/08/2016,"7,6","2,1",Noite,Masculino,Casado(a),Ensino médio,Piranhas,Setor Central
10048,GO - Goiás,12/08/2016,"7,5",2,manhã,Masculino,Casado(a),Superior,PIRANHAS,VILA OPERARIA
10049,GO - Goiás,04/08/2016,"7,35","2,1",manhã,Feminino,Solteiro(a),Superior,BOTUCATU,CRISTINO CORTES
10050,GO - Goiás,04/08/2016,"7,35","1,6",manhã,Masculino,Casado(a),Superior,JATAI,Vila Brasilia
10051,GO - Goiás,08/08/2016,"7,15","1,9",Noite,Masculino,Solteiro(a),Ensino médio,PIRANHAS GO,Setor SUDOESTE
10052,GO - Goiás,13/08/2016,"7,1","2,1",manhã,Masculino,Divorciado(a),Ensino médio,Piranhas,Setor Aeroporto
10053,GO - Goiás,11/08/2016,"6,95","1,7",Noite,Masculino,Solteiro(a),Superior,PIRANHAS,Setor Santa Luzia
10054,GO - Goiás,08/08/2016,"6,9","1,9",Noite,Feminino,Solteiro(a),Ensino médio,PIRANHAS,SETOR SUDOESTE
10055,GO - Goiás,13/08/2016,"6,55","1,8",Noite,Masculino,Casado(a),Ensino médio,ipora,Setor Central
10056,GO - Goiás,13/08/2016,"6,55","1,8",manhã,Masculino,Solteiro(a),Ensino médio,sao paulo,Alto Paraiso
10057,GO - Goiás,12/08/2016,"6,55","1,8",Noite,Masculino,Casado(a),Ensino médio,IPORA,Setor Central
10058,GO - Goiás,11/08/2016,"6,25","1,5",Noite,Masculino,Casado(a),Superior,SAO LUIS DOS MONTES BELOS,Setor Central
10059,GO - Goiás,12/08/2016,"6,2","1,7",Noite,Masculino,Divorciado(a),Ensino médio,TABULEIRO DO NORTE,SERRA AZUL
