dia_da_prova_realizada,nota,nota_redacao,horario_da_prova,sexo,estado_civil,escolaridade,estado_realizado_em,cidade_realizado_em,bairro,cidade_nascimento,estado_nascimento,APROVADO
2017-01-14,6.35,1.6,NOITE,FEMININO,DIVORCIADO,NIVEL TECNICO,MG,MINAS GERAIS,SANTA LUCIA,BARAO DE COCAIS,MG,SIM
2017-01-16,6.3,1.8,NOITE,FEMININO,CASADO,SUPERIOR,MG,MINAS GERAIS,PALMARES,BELO HORIZONTE,MG,SIM
2017-01-13,6.2,1.7,MANHA,FEMININO,SOLTEIRO,SUPERIOR INCOMPLETO,MG,MINAS GERAIS,INCONFIDENTES,CONTAGEM,MG,SIM
2017-01-15,6.2,1.2,NOITE,MASCULINO,SOLTEIRO,ENSINO MEDIO,MG,MINAS GERAIS,LINDA VISTA,JOAO MONLEVADE,MG,SIM
2017-10-01,6.15,2.4,MANHA,FEMININO,SOLTEIRO,SUPERIOR,MG,MINAS GERAIS,SERRA,BELO HORIZONTE,MG,SIM
2017-01-15,6.15,1.9,NOITE,MASCULINO,CASADO,ENSINO MEDIO,MG,MINAS GERAIS,JK,BELO HORIZONTE,MG,SIM
2017-01-13,6.15,1.9,NOITE,MASCULINO,CASADO,ESPECIALIZACAO,MG,MINAS GERAIS,BORBA GATO,SABARA,MG,SIM
2017-01-13,6.1,2.1,MANHA,MASCULINO,CASADO,ENSINO MEDIO,MG,MINAS GERAIS,ALIPIO DE MELO,CONSELHEIRO LAFAIETE,MG,SIM
2017-01-15,6.1,1.6,NOITE,FEMININO,SOLTEIRO,SUPERIOR INCOMPLETO,MG,MINAS GERAIS,CEU AZUL,BELO HORIZONTE,MG,SIM
2017-01-14,6.05,1.8,NOITE,MASCULINO,SOLTEIRO,SUPERIOR,MG,MINAS GERAIS,CENTRO,BOA ESPERANAA,MG,SIM
2017-01-16,6.05,1.8,NOITE,MASCULINO,CASADO,ENSINO MEDIO,MG,MINAS GERAIS,SANTA MARTA,IPATINGA,MG,SIM
2017-01-13,6.05,1.8,NOITE,MASCULINO,SOLTEIRO,ENSINO MEDIO,MG,MINAS GERAIS,FLORESTA,BELO HORIZONTE,MG,SIM
2017-01-13,6.0,2.0,MANHA,FEMININO,DIVORCIADO,SUPERIOR,MG,MINAS GERAIS,CASTELO BRANCO,PITANGUI,MG,SIM
2017-03-01,6.0,1.5,MANHA,MASCULINO,SOLTEIRO,ENSINO MEDIO,MG,MINAS GERAIS,ALTO DOS PINHEIROS,LAVRAS,MG,SIM
2017-01-15,6.0,1.5,NOITE,MASCULINO,CASADO,SUPERIOR INCOMPLETO,MG,MINAS GERAIS,NACIONAL,BELO HORIZONTE,MG,SIM
2017-01-17,5.95,1.7,MANHA,FEMININO,CASADO,ENSINO MEDIO,MG,MINAS GERAIS,PRAIA,BELO HORIZONTE,MG,SIM
2017-06-01,5.9,1.9,MANHA,MASCULINO,SOLTEIRO,SUPERIOR,MG,MINAS GERAIS,JARDIM ALVORADA,BELO HORIZONTE,MG,SIM
2017-02-01,5.9,1.9,MANHA,MASCULINO,SOLTEIRO,SUPERIOR,MG,MINAS GERAIS,CENTRO,IPANEMA,MG,SIM
2017-01-15,5.85,2.1,NOITE,FEMININO,SOLTEIRO,SUPERIOR,MG,MINAS GERAIS,JOAO PINHEIRO,BELO HORIZONTE,MG,SIM
2017-01-17,5.85,2.1,MANHA,MASCULINO,SOLTEIRO,ENSINO MEDIO,MG,MINAS GERAIS,RENASCENCA,RESENDE COSTA,MG,SIM
2017-01-16,5.85,1.6,NOITE,MASCULINO,SOLTEIRO,ENSINO MEDIO,MG,MINAS GERAIS,JARDIM DOS COMERCIARIOS,BELO HORIZONTE,MG,SIM
2017-01-15,5.85,1.1,NOITE,MASCULINO,CASADO,SUPERIOR,MG,MINAS GERAIS,CIDADE JARDIM,BELO HORIZONTE,MG,SIM
2017-06-01,5.85,1.1,NOITE,MASCULINO,CASADO,ENSINO MEDIO,MG,MINAS GERAIS,BRASILIA,SARZEDO,MG,SIM
2017-01-15,5.8,1.8,NOITE,MASCULINO,SOLTEIRO,ENSINO MEDIO,MG,MINAS GERAIS,SAO GERALDO,BRASILIA,DF,SIM
2017-01-16,5.8,1.8,MANHA,MASCULINO,SOLTEIRO,ENSINO MEDIO,MG,MINAS GERAIS,INCONFIDENTES,CONTAGEM,MG,SIM
2017-01-15,5.8,1.3,NOITE,FEMININO,SOLTEIRO,SUPERIOR INCOMPLETO,MG,MINAS GERAIS,CONDOMINIO RETIRO DO CHALE,BELO HORIZONTE,MG,SIM
